NBHD_NAME,COUNT_CHILDREN_INREGISTRYBMI,PERCENT_OBESE_,TOTALPOP_INREGISTRY,PERCENT_ADULTS_OBESE_,COUNT_ADULTS_OBESE
North Park Hill,1225.0,9.99,3242,29.09,943.0978
South Park Hill,760.0,7.15,2109,17.47,368.4423
University Park,411.0,6.53,1261,17.94,226.2234
College View - South Platte,1770.0,19.0,2250,34.73,781.425
Overland,223.0,18.05,705,31.66,223.203
Ruby Hill,2424.0,19.4,3826,37.49,1434.3674
Kennedy,610.0,10.57,1003,29.7,297.891
Hampden,1667.0,11.68,4365,28.72,1253.628
Baker,391.0,16.43,2075,25.65,532.2375
Fort Logan,953.0,14.91,2491,32.94,820.5354
Bear Valley,1152.0,14.99,2570,33.17,852.469
Harvey Park South,1361.0,13.91,2638,34.95,921.981
Southmoor Park,174.0,8.92,832,19.31,160.6592
Hampden South,1311.0,10.06,3289,26.31,865.3359
Indian Creek,229.0,12.92,847,26.55,224.8785
Chaffee Park,623.0,20.82,1467,36.94,541.9098
Sunnyside,1528.0,17.34,3938,36.45,1435.401
Highland,602.0,15.21,2418,24.16,584.1888
Globeville,790.0,16.92,1459,36.57,533.5563
Jefferson Park,288.0,21.27,800,28.01,224.08
Sun Valley,1621.0,13.6,670,41.48,277.916
Valverde,1150.0,18.93,1643,39.13,642.9059
Athmar Park,2212.0,20.17,3379,36.97,1249.2163
Windsor,1565.0,13.38,4443,28.87,1282.6941
Northeast Park Hill,1705.0,17.92,3804,37.66,1432.5864
Elyria Swansea,1948.0,19.34,2629,42.87,1127.0523
Wellshire,246.0,4.46,531,17.18,91.2258
University,417.0,3.93,1520,15.6,237.12
Cheesman Park,235.0,6.57,2257,16.88,380.9816
Hilltop,798.0,4.47,1465,17.81,260.9165
Montclair,407.0,8.49,1298,19.06,247.3988
Goldsmith,635.0,15.23,1353,32.22,435.9366
Virginia Village,1291.0,11.67,3466,27.15,941.019
Gateway - Green Valley Ranch,8007.0,14.11,9510,38.12,3625.212
DIA,303.0,15.71,402,42.38,170.3676
University Hills,420.0,8.09,1368,23.51,321.6168
Harvey Park,2377.0,19.22,3996,37.35,1492.506
Mar Lee,3088.0,19.23,4585,38.81,1779.4385
Westwood,5279.0,20.02,6198,40.44,2506.4712
East Colfax,1985.0,16.74,3726,31.21,1162.8846
Auraria,,,0,0.0,0.0
Belcaro,190.0,8.85,588,12.59,74.0292
Washington Park,353.0,3.17,1279,11.55,147.7245
Washington Park West,276.0,6.04,1402,14.78,207.2156
Speer,252.0,5.79,3067,17.33,531.5111
West Colfax,1792.0,15.66,3311,34.41,1139.3151
West Highland,539.0,6.86,2053,20.55,421.8915
Sloan Lake,668.0,11.1,2142,27.85,596.547
Berkeley,592.0,8.66,2384,27.02,644.1568
Regis,339.0,17.55,1154,27.1,312.734
Lincoln Park,993.0,18.72,2626,29.6,777.296
City Park West,320.0,12.04,1791,23.71,424.6461
Capitol Hill,203.0,6.7,4424,17.25,763.14
North Capitol Hill,120.0,14.34,1880,16.5,310.2
Civic Center,,,631,16.64,104.9984
CBD,,,765,16.7,127.755
Union Station,55.0,2.1,1242,15.34,190.5228
Five Points,1113.0,13.94,4848,22.73,1101.9504
Cherry Creek,138.0,3.56,1065,16.65,177.3225
Country Club,242.0,2.75,438,13.64,59.7432
Congress Park,532.0,4.15,2696,17.56,473.4176
City Park,156.0,5.12,810,17.25,139.725
Clayton,1025.0,18.41,1783,37.13,662.0279
Skyland,355.0,15.71,1236,32.8,405.408
Cole,920.0,18.08,1736,35.24,611.7664
Marston,876.0,8.21,2700,31.02,837.54
Washington Virginia Vale,1359.0,9.46,3382,25.52,863.0864
Barnum,1614.0,21.91,2350,38.03,893.705
Barnum West,1266.0,20.89,2202,37.65,829.053
Villa Park,2236.0,22.8,3523,40.39,1422.9397
Hale,380.0,9.54,1869,21.78,407.0682
Stapleton,2564.0,4.08,2819,18.05,508.8295
Montbello,11053.0,18.53,11887,40.09,4765.4983
Lowry Field,942.0,8.09,1882,22.88,430.6016
Cory - Merrill,,,649,19.94,129.4106
Rosedale,151.0,5.52,586,19.91,116.6726
Whittier,718.0,12.78,1730,27.74,479.902
Platt Park,324.0,2.08,1276,14.84,189.3584
