OBJECTID_1,NBHD_ID,NBHD_NAME,NBHD_IID,COUNT_CHILDREN_INREGISTRYBMI,PERCENT_OBESE_,CONFIDENCE_INTERVAL
1,48,North Park Hill,49,1225,9.99,"(8.34, 11.65)"
2,57,South Park Hill,58,760,7.15,"(5.38, 8.93)"
3,66,University Park,67,411,6.53,"(2.92, 10.13)"
4,19,College View - South Platte,20,1770,19,"(16.78, 21.22)"
5,50,Overland,51,223,18.05,"(12.22, 23.88)"
6,54,Ruby Hill,55,2424,19.4,"(17.76, 21.04)"
7,40,Kennedy,41,610,10.57,"(7.71, 13.43)"
8,32,Hampden,33,1667,11.68,"(10.04, 13.32)"
9,3,Baker,4,391,16.43,"(12.62, 20.23)"
10,27,Fort Logan,28,953,14.91,"(12.38, 17.43)"
11,6,Bear Valley,7,1152,14.99,"(12.8, 17.19)"
12,35,Harvey Park South,36,1361,13.91,"(11.95, 15.87)"
13,58,Southmoor Park,59,174,8.92,"(4.08, 13.76)"
14,33,Hampden South,34,1311,10.06,"(8.38, 11.74)"
15,38,Indian Creek,39,229,12.92,"(7.58, 18.26)"
16,11,Chaffee Park,12,623,20.82,"(17.47, 24.17)"
17,62,Sunnyside,63,1528,17.34,"(15.38, 19.29)"
18,36,Highland,37,602,15.21,"(12.14, 18.29)"
19,29,Globeville,30,790,16.92,"(14.22, 19.61)"
20,39,Jefferson Park,40,288,21.27,"(13.83, 28.72)"
21,61,Sun Valley,62,1621,13.6,"(11.63, 15.58)"
22,67,Valverde,68,1150,18.93,"(16.48, 21.38)"
23,1,Athmar Park,2,2212,20.17,"(18.46, 21.89)"
24,78,Windsor,79,1565,13.38,"(11.51, 15.25)"
25,49,Northeast Park Hill,50,1705,17.92,"(15.93, 19.92)"
26,25,Elyria Swansea,26,1948,19.34,"(17.42, 21.25)"
27,73,Wellshire,74,246,4.46,"(1.94, 6.99)"
28,64,University,65,417,3.93,"(2.18, 5.68)"
29,12,Cheesman Park,13,235,6.57,"(3.15, 9.98)"
30,37,Hilltop,38,798,4.47,"(2.9, 6.04)"
31,46,Montclair,47,407,8.49,"(5.55, 11.44)"
32,30,Goldsmith,31,635,15.23,"(12.22, 18.25)"
33,69,Virginia Village,70,1291,11.67,"(9.59, 13.76)"
34,28,Gateway - Green Valley Ranch,29,8007,14.11,"(13.28, 14.93)"
35,23,DIA,24,303,15.71,"(10.89, 20.53)"
36,65,University Hills,66,420,8.09,"(5.48, 10.7)"
37,34,Harvey Park,35,2377,19.22,"(17.52, 20.93)"
38,43,Mar Lee,44,3088,19.23,"(17.77, 20.68)"
39,76,Westwood,77,5279,20.02,"(18.87, 21.17)"
40,24,East Colfax,25,1985,16.74,"(14.83, 18.64)"
41,2,Auraria,3,None,None,None
42,7,Belcaro,8,190,8.85,"(4.15, 13.54)"
43,70,Washington Park,71,353,3.17,"(1.25, 5.09)"
44,71,Washington Park West,72,276,6.04,"(2.69, 9.38)"
45,59,Speer,60,252,5.79,"(2.43, 9.15)"
46,74,West Colfax,75,1792,15.66,"(13.81, 17.52)"
47,75,West Highland,76,539,6.86,"(4.82, 8.9)"
48,56,Sloan Lake,57,668,11.1,"(8.75, 13.46)"
49,8,Berkeley,9,592,8.66,"(6.39, 10.92)"
50,52,Regis,53,339,17.55,"(12.72, 22.38)"
51,41,Lincoln Park,42,993,18.72,"(15.96, 21.48)"
52,15,City Park West,16,320,12.04,"(6.69, 17.39)"
53,9,Capitol Hill,11,203,6.7,"(3.07, 10.33)"
54,47,North Capitol Hill,48,120,14.34,"(7.39, 21.29)"
55,16,Civic Center,17,None,None,None
56,10,CBD,10,None,None,None
57,63,Union Station,64,55,2.1,"(0, 5.15)"
58,26,Five Points,27,1113,13.94,"(11.5, 16.38)"
59,13,Cherry Creek,14,138,3.56,"(0.19, 6.92)"
60,22,Country Club,23,242,2.75,"(0.79, 4.7)"
61,20,Congress Park,21,532,4.15,"(2.55, 5.75)"
62,14,City Park,15,156,5.12,"(1.99, 8.25)"
63,17,Clayton,18,1025,18.41,"(15.83, 20.99)"
64,55,Skyland,56,355,15.71,"(11.54, 19.88)"
65,18,Cole,19,920,18.08,"(15.55, 20.61)"
66,44,Marston,45,876,8.21,"(6.29, 10.14)"
67,72,Washington Virginia Vale,73,1359,9.46,"(7.88, 11.04)"
68,4,Barnum,5,1614,21.91,"(19.81, 24.02)"
69,5,Barnum West,6,1266,20.89,"(18.57, 23.21)"
70,68,Villa Park,69,2236,22.8,"(20.86, 24.75)"
71,31,Hale,32,380,9.54,"(6.38, 12.69)"
72,60,Stapleton,61,2564,4.08,"(3.19, 4.96)"
73,45,Montbello,46,11053,18.53,"(17.74, 19.31)"
74,42,Lowry Field,43,942,8.09,"(6.27, 9.91)"
75,21,Cory - Merrill,None,None,None,None
76,53,Rosedale,54,151,5.52,"(1.92, 9.12)"
77,77,Whittier,78,718,12.78,"(10.08, 15.49)"
78,51,Platt Park,52,324,2.08,"(0.43, 3.73)"
